zone_name,zone_id,epc,랙그룹명,층,선반명,파레트,높이
RCH-A1-1-A-A,441b802e33e3d848a113f49912b74ed1,DA02A40002000000001F00ED,A1,1,A,A,1700
RCH-A1-1-A-B,4bf1d448f14d6778afc51668e7ac11a8,DA02A40002000000002000ED,A1,1,A,B,1700
RCH-A1-1-B-A,47dfc3edf7834721ad8bd20a98bebe5f,DA02A40002000000002100ED,A1,1,B,A,1700
RCH-A1-1-B-B,493c11737490e578b7c7b34dc024ff19,DA02A40002000000002200ED,A1,1,B,B,1700
RCH-A1-1-C-A,440ad3a184e0df4eb0613fca773cf227,DA02A40002000000002300ED,A1,1,C,A,1700
RCH-A1-1-C-B,4907ec52b789c747bb9aca063dbd5acc,DA02A40002000000002400ED,A1,1,C,B,1700
RCH-A1-1-D-A,40f4aa9b2505802ebd054f1908dbaf9a,DA02A40002000000002500ED,A1,1,D,A,1700
RCH-A1-1-D-B,4099d65f040ba2cbb32a48752642835b,DA02A40002000000002600ED,A1,1,D,B,1700
RCH-A1-2-A-A,46e2e7f89f86b8fab7586ea4e00e13ff,DA02A40002000000001F00ED,A1,2,A,A,3400
RCH-A1-2-A-B,43ebf787c32a72468557e0c7cbf5e281,DA02A40002000000002000ED,A1,2,A,B,3400
RCH-A1-2-B-A,48b6631a73cbb95ab4a9c1f3110027c3,DA02A40002000000002100ED,A1,2,B,A,3400
RCH-A1-2-B-B,40185a5cbf92f230a2dd24b5de3d81a0,DA02A40002000000002200ED,A1,2,B,B,3400
RCH-A1-2-C-A,472f7fb43d03fc73863d3c8fb196b0ff,DA02A40002000000002300ED,A1,2,C,A,3400
RCH-A1-2-C-B,4f251104baecaec0b2879a381ee2000e,DA02A40002000000002400ED,A1,2,C,B,3400
RCH-A1-2-D-A,4fb7c1aac7d8dedd89be484054088ab4,DA02A40002000000002500ED,A1,2,D,A,3400
RCH-A1-2-D-B,4d2fa4238efbc0eab972d92424e3140d,DA02A40002000000002600ED,A1,2,D,B,3400
RCH-A1-3-A-A,43efc5963db5ec639ebd26d0272319df,DA02A40002000000001F00ED,A1,3,A,A,5870
RCH-A1-3-A-B,434b943c16559263990a7b46887d8524,DA02A40002000000002000ED,A1,3,A,B,5870
RCH-A1-3-B-A,446dc087cc57873da3cc2198077ca034,DA02A40002000000002100ED,A1,3,B,A,5870
RCH-A1-3-B-B,4ee7428b509f59909c0067cb74d505ae,DA02A40002000000002200ED,A1,3,B,B,5870
RCH-A1-3-C-A,40779de094cec619a3a4b0205f97cfce,DA02A40002000000002300ED,A1,3,C,A,5870
RCH-A1-3-C-B,4bdd664acc80a98a9423079d5373642d,DA02A40002000000002400ED,A1,3,C,B,5870
RCH-A1-3-D-A,41dd8146c2b80dfe98496c40346512f6,DA02A40002000000002500ED,A1,3,D,A,5870
RCH-A1-3-D-B,4bb3cf5bd2c5971ab5d5b58840ab9447,DA02A40002000000002600ED,A1,3,D,B,5870
RCH-A1-4-A-A,4087c44abd22f9b2a99575b70c87b8de,DA02A40002000000001F00ED,A1,4,A,A,8000
RCH-A1-4-A-B,4ae0411d772c2eba9464f7ebced2f319,DA02A40002000000002000ED,A1,4,A,B,8000
RCH-A1-4-B-A,47132f25dc71049b9c19227a1a2822e8,DA02A40002000000002100ED,A1,4,B,A,8000
RCH-A1-4-B-B,4b384665eca71dfe87bb7b3e0eff923b,DA02A40002000000002200ED,A1,4,B,B,8000
RCH-A1-4-C-A,4a79e25c72d112e58a9f0350ad58cf8a,DA02A40002000000002300ED,A1,4,C,A,8000
RCH-A1-4-C-B,4031f1e1f761f608aed5df7c6ba6a3a2,DA02A40002000000002400ED,A1,4,C,B,8000
RCH-A1-4-D-A,43033f1b95a9559a85427b97fae98fb4,DA02A40002000000002500ED,A1,4,D,A,8000
RCH-A1-4-D-B,45bbc822149c8f3dad97d514ec2f27d4,DA02A40002000000002600ED,A1,4,D,B,8000
RCH-A2-1-A-A,4e04dae076ff40868d03f47c9e4f6aef,DA02A40002000000003700ED,A2,1,A,A,1500
RCH-A2-1-A-B,4d22f58e35eebf119d507d283dab11a7,DA02A40002000000003800ED,A2,1,A,B,1500
RCH-A2-1-B-A,4657ee73eaa09053b0947c9cbafddc9d,DA02A40002000000003900ED,A2,1,B,A,1500
RCH-A2-1-B-B,4cb63d01f99172178de8ed6ea036c738,DA02A40002000000003A00ED,A2,1,B,B,1500
RCH-A2-1-C-A,43ff999643bc60538a72044141719d5a,DA02A40002000000003B00ED,A2,1,C,A,1500
